start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751443037917;1751443038075;158;stop;50;50;0;0;0;0
1751443038075;1751443038251;176;stop;50;0;0;0;0;0
1751443039042;1751443039186;144;stop;50;50;0;0;0;0
1751443039588;1751443039873;285;stop;50;50;0;0;0;0
1751443039873;1751443039968;95;stop;0;50;0;0;0;0
1751443040806;1751443041052;246;stop;50;50;0;0;0;0
1751443041433;1751443041561;128;stop;50;50;0;0;0;0
1751443041561;1751443041821;260;stop;0;50;0;0;0;0
1751443044417;1751443044524;107;stop;0;50;0;0;0;0
1751443048683;1751443048797;114;stop;0;50;0;0;0;0
1751443050764;1751443051021;257;stop;0;50;0;0;0;0
1751443051419;1751443051526;107;stop;0;50;0;0;0;0
1751443052061;1751443052224;163;stop;50;0;0;0;0;0
1751443053558;1751443053734;176;stop;50;50;0;0;0;0
1751443053734;1751443053966;232;stop;0;50;0;0;0;0
1751443056880;1751443057050;170;stop;0;50;0;0;0;0
1751443057726;1751443057825;99;stop;50;50;0;0;0;0
1751443060187;1751443060314;127;stop;0;50;0;0;0;0
1751443062000;1751443062174;174;stop;50;0;0;0;0;0
1751443063049;1751443063162;113;stop;50;0;0;0;0;0
1751443065958;1751443066077;119;stop;0;50;0;0;0;0
1751443067425;1751443067636;211;stop;50;50;0;0;0;0
1751443067636;1751443067863;227;stop;0;50;0;0;0;0
1751443070128;1751443070301;173;stop;0;50;0;0;0;0
1751443070853;1751443070976;123;stop;0;50;0;0;0;0
1751443072239;1751443072386;147;stop;50;50;0;0;0;0
1751443073143;1751443073253;110;stop;0;50;0;0;0;0
1751443074028;1751443074245;217;stop;50;50;0;0;0;0
1751443074245;1751443074453;208;stop;0;50;0;0;0;0
1751443074988;1751443075110;122;stop;0;50;0;0;0;0
1751443075821;1751443075948;127;stop;50;50;0;0;0;0
1751443075948;1751443076147;199;stop;0;50;0;0;0;0
1751443078359;1751443078609;250;stop;50;0;0;0;0;0
1751443081321;1751443081468;147;stop;50;50;0;0;0;0
1751443082250;1751443082373;123;stop;0;50;0;0;0;0
1751443082373;1751443082568;195;stop;50;50;0;0;0;0
1751443083529;1751443083639;110;stop;0;50;0;0;0;0
1751443086070;1751443086203;133;stop;0;50;0;0;0;0
1751443088195;1751443088426;231;stop;50;50;0;0;0;0
1751443088426;1751443088706;280;stop;0;50;0;0;0;0
1751443090777;1751443090893;116;stop;0;50;0;0;0;0
1751443092733;1751443092890;157;stop;50;0;0;0;0;0
1751443093869;1751443093980;111;stop;50;0;0;0;0;0
1751443094732;1751443094909;177;stop;50;50;0;0;0;0
1751443094909;1751443095166;257;stop;0;50;0;0;0;0
1751443096395;1751443096509;114;stop;0;50;0;0;0;0
1751443097731;1751443097935;204;stop;50;50;0;0;0;0
1751443101243;1751443101355;112;stop;0;50;0;0;0;0
1751443101954;1751443102248;294;stop;50;0;0;0;0;0
1751443107040;1751443107151;111;stop;50;50;0;0;0;0
1751443112267;1751443112414;147;stop;0;50;0;0;0;0
1751443115718;1751443115827;109;stop;50;50;0;0;0;0
1751443115827;1751443115934;107;stop;0;50;0;0;0;0
1751443117842;1751443117986;144;stop;50;50;0;0;0;0
1751443118221;1751443118345;124;stop;50;50;0;0;0;0
1751443118345;1751443118452;107;stop;0;50;0;0;0;0
1751443119055;1751443119181;126;stop;0;50;0;0;0;0
1751443119181;1751443119303;122;stop;50;50;0;0;0;0
1751443119730;1751443119878;148;stop;50;50;0;0;0;0
1751443119878;1751443120020;142;stop;0;50;0;0;0;0
1751443123614;1751443123749;135;stop;50;0;0;0;0;0
1751443125241;1751443125412;171;stop;50;50;0;0;0;0
1751443125597;1751443125746;149;stop;50;50;0;0;0;0
1751443125903;1751443126035;132;stop;50;50;0;0;0;0
1751443126035;1751443126172;137;stop;0;50;0;0;0;0
1751443127710;1751443127888;178;stop;0;50;0;0;0;0
1751443128976;1751443129123;147;stop;50;50;0;0;0;0
1751443129123;1751443129275;152;stop;0;50;0;0;0;0
1751443130348;1751443130488;140;stop;0;50;0;0;0;0
1751443135968;1751443136156;188;stop;0;50;0;0;0;0
1751443137688;1751443137831;143;stop;0;50;0;0;0;0
